physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,rssi_dbm,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
E (6673) wifi:No FTM Measurements received from responder!
W (6674) puara-module: FTM Report received with non-success status: 5
# Timeout after 2006 ms, retrying...
3300,16,2,3945,263,-63,245
3300,16,2,3915,261,-62,299
3300,16,2,3960,264,-63,317
3300,16,2,3945,263,-63,305
3300,16,2,3930,262,-63,809
E (10665) wifi:No FTM Measurements received from responder!
W (10665) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3870,258,-63,263
3300,16,2,3900,260,-63,309
3300,16,2,3855,257,-62,326
3300,16,2,3915,261,-63,276
3300,16,2,3645,243,-62,322
3300,16,2,3855,257,-62,303
3300,16,2,3975,265,-62,810
3300,16,2,3900,260,-62,331
3300,16,2,3930,262,-62,281
3300,16,2,4020,268,-63,310
3300,16,2,4020,268,-64,308
3300,16,2,4110,274,-64,317
3300,16,2,4080,272,-64,304
3300,16,2,4110,274,-64,820
3300,16,2,3915,261,-64,309
3300,16,2,3810,254,-61,329
3300,16,2,3945,263,-63,813
3300,16,2,3930,262,-64,795
3300,16,2,4035,269,-64,316
3300,16,2,3930,262,-62,310
3300,16,2,3915,261,-62,303
3300,16,2,3960,264,-63,828
3300,16,2,3960,264,-63,298
3300,16,2,3990,266,-62,297
3300,16,2,3990,266,-63,308
3300,16,2,3975,265,-63,319
3300,16,2,3975,265,-63,294
3300,16,2,3960,264,-63,322
3300,16,2,4020,268,-63,818
3300,16,2,4005,267,-63,296
3300,16,2,3960,264,-63,315
3300,16,2,3930,262,-62,298
3300,16,2,3960,264,-63,333
3300,16,2,3915,261,-61,283
3300,16,2,3945,263,-63,304
3300,16,2,3960,264,-63,323
3300,16,2,3945,263,-62,294
3300,16,2,3960,264,-63,320
3300,16,2,3930,262,-63,318
3300,16,2,3945,263,-63,293
3300,16,2,3960,264,-63,309
3300,16,2,3945,263,-63,295
3300,16,2,3945,263,-62,322
3300,16,2,3960,264,-63,816
3300,16,2,3375,225,-62,324
3300,16,2,3945,263,-62,804
3300,16,2,3960,264,-63,306
E (31169) wifi:No FTM Measurements received from responder!
W (31169) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
E (33108) wifi:No FTM Measurements received from responder!
W (33109) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3945,263,-62,287
3300,16,2,3945,263,-62,307
3300,16,2,3960,264,-63,319
3300,16,2,3960,264,-63,296
3300,16,2,3945,263,-63,318
3300,16,2,3945,263,-62,306
3300,16,2,3885,259,-63,298
3300,16,2,3930,262,-63,306
3300,16,2,3930,262,-63,317
3300,16,2,3975,265,-63,307
3300,16,2,4020,268,-63,820
3300,16,2,3960,264,-63,841
3300,16,2,3960,264,-63,808
3300,16,2,3930,262,-63,296
3300,16,2,3930,262,-62,307
3300,16,2,3960,264,-63,819
3300,16,2,3945,263,-62,308
3300,16,2,3945,263,-63,307
3300,16,2,3945,263,-63,333
3300,16,2,3945,263,-63,793
3300,16,2,3870,258,-61,298
3300,16,2,3960,264,-63,325
3300,16,2,3945,263,-63,301
3300,16,2,3960,264,-63,323
3300,16,2,3945,263,-63,281
3300,16,2,3930,262,-62,316
3300,16,2,3915,261,-63,297
3300,16,2,3930,262,-62,316
3300,16,2,3960,264,-62,296
3300,16,2,3915,261,-62,313
3300,16,2,3960,264,-63,314
3300,16,2,3915,261,-62,302
3300,16,2,3945,263,-62,299
3300,16,2,3915,261,-63,322
3300,16,2,3960,264,-62,807
3300,16,2,3930,262,-62,305
3300,16,2,3945,263,-62,310
3300,16,2,3960,264,-62,318
3300,16,2,3975,265,-63,306
3300,16,2,3975,265,-63,297
3300,16,2,3960,264,-63,317
3300,16,2,3945,263,-63,308
3300,16,2,3945,263,-62,311
E (51952) wifi:No FTM Measurements received from responder!
W (51952) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
E (53382) wifi:No FTM Measurements received from responder!
W (53383) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3930,262,-62,366
3300,16,2,3960,264,-63,344
3300,16,2,3885,259,-63,340
3300,16,2,3945,263,-62,781
3300,16,2,3960,264,-63,321
3300,16,2,3945,263,-63,293
3300,16,2,3945,263,-62,835
E (58705) wifi:No FTM Measurements received from responder!
W (58705) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3945,263,-63,353
3300,16,2,3915,261,-62,308
3300,16,2,3960,264,-63,317
3300,16,2,3945,263,-64,274
3300,16,2,3960,264,-62,315
3300,16,2,3960,264,-63,821
3300,16,2,4020,268,-63,818
3300,16,2,3915,261,-62,821
3300,16,2,3960,264,-62,299
3300,16,2,4005,267,-63,315
3300,16,2,3960,264,-63,296
3300,16,2,3990,266,-62,320
3300,16,2,3945,263,-63,305
3300,16,2,3930,262,-64,811
3300,16,2,3915,261,-63,307
3300,16,2,3930,262,-63,318
E (67703) wifi:No FTM Measurements received from responder!
W (67704) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3960,264,-63,249
3300,16,2,3915,261,-63,312
3300,16,2,3885,259,-63,318
3300,16,2,3960,264,-63,305
3300,16,2,3930,262,-63,302
3300,16,2,3960,264,-62,298
3300,16,2,3960,264,-63,309
3300,16,2,3990,266,-63,319
3300,16,2,3945,263,-63,795
3300,16,2,3930,262,-62,320
3300,16,2,3945,263,-62,297
3300,16,2,3480,232,-63,308
3300,16,2,3960,264,-62,320
3300,16,2,3945,263,-62,302
3300,16,2,3960,264,-63,314
3300,16,2,3915,261,-63,813
3300,16,2,3930,262,-63,1063
3300,16,2,3960,264,-62,275
3300,16,2,3960,264,-63,301
3300,16,2,3930,262,-63,306
E (77555) wifi:No FTM Measurements received from responder!
W (77556) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3945,263,-63,265
3300,16,2,3930,262,-63,300
E (80111) wifi:No FTM Measurements received from responder!
W (80112) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3915,261,-63,251
3300,16,2,3945,263,-63,293
3300,16,2,3960,264,-64,304
3300,16,2,3945,263,-62,319
3300,16,2,3960,264,-63,308
3300,16,2,3945,263,-63,337
3300,16,2,3945,263,-63,781
3300,16,2,3945,263,-63,319
E (85523) wifi:No FTM Measurements received from responder!
W (85523) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3945,263,-62,355
E (87384) wifi:No FTM Measurements received from responder!
W (87384) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3930,262,-62,339
3300,16,2,3975,265,-62,321
3300,16,2,3930,262,-62,808
3300,16,2,3915,261,-63,319
3300,16,2,4020,268,-64,816
E (92515) wifi:No FTM Measurements received from responder!
W (92515) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3585,239,-63,272
E (94232) wifi:No FTM Measurements received from responder!
W (94233) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3930,262,-63,343
3300,16,2,3945,263,-63,914
3300,16,2,3960,264,-62,820
3300,16,2,3945,263,-63,817
3300,16,2,3915,261,-63,822
3300,16,2,3945,263,-62,304
E (100274) wifi:No FTM Measurements received from responder!
W (100275) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,4005,267,-63,255
3300,16,2,3945,263,-63,818
3300,16,2,3960,264,-62,306
3300,16,2,3975,265,-62,306
E (103974) wifi:No FTM Measurements received from responder!
W (103975) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3930,262,-63,252
3300,16,2,3945,263,-62,307
3300,16,2,3945,263,-63,308
3300,16,2,3960,264,-63,306
3300,16,2,3975,265,-63,832
3300,16,2,3930,262,-63,297
3300,16,2,3930,262,-63,307
3300,16,2,3945,263,-63,807
E (109388) wifi:No FTM Measurements received from responder!
W (109388) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3930,262,-63,255
3300,16,2,3960,264,-63,305
3300,16,2,3960,264,-63,322
3300,16,2,3930,262,-62,304
3300,16,2,3945,263,-63,305
E (113380) wifi:No FTM Measurements received from responder!
W (113380) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3960,264,-63,262
3300,16,2,3930,262,-62,304
E (115428) wifi:No FTM Measurements received from responder!
W (115429) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
E (117407) wifi:No FTM Measurements received from responder!
W (117408) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3945,263,-63,293
E (119729) wifi:No FTM Measurements received from responder!
W (119729) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
E (121676) wifi:No FTM Measurements received from responder!
W (121676) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,3975,265,-64,313
3300,16,2,3945,263,-63,344
3300,16,2,3945,263,-63,849
3300,16,2,4020,268,-62,334
3300,16,2,3930,262,-62,815
3300,16,2,3960,264,-63,805
3300,16,2,3960,264,-62,360
3300,16,2,3930,262,-62,263
3300,16,2,3945,263,-62,311
3300,16,2,3945,263,-63,317
3300,16,2,3930,262,-62,817
3300,16,2,3945,263,-63,291
3300,16,2,3945,263,-63,315
3300,16,2,3945,263,-63,309
3300,16,2,3900,260,-62,818
3300,16,2,3960,264,-63,814
3300,16,2,3975,265,-63,305
E (132113) wifi:No FTM Measurements received from responder!
W (132114) puara-module: FTM Report received with non-success status: 5
# Timeout after 2001 ms, retrying...
3300,16,2,4035,269,-62,263
3300,16,2,3930,262,-63,305
3300,16,2,3930,262,-62,299
3300,16,2,3960,264,-63,317
3300,16,2,3960,264,-63,309
3300,16,2,3930,262,-62,307
3300,16,2,3960,264,-63,296
3300,16,2,3945,263,-62,305
3300,16,2,3930,262,-63,316
3300,16,2,3960,264,-63,860
3300,16,2,3945,263,-63,260
3300,16,2,3945,263,-62,317
3300,16,2,3930,262,-63,970
3300,16,2,3960,264,-63,365
3300,16,2,3945,263,-63,306
3300,16,2,3945,263,-63,304
3300,16,2,3945,263,-62,808
3300,16,2,3930,262,-62,317
3300,16,2,3915,261,-62,305
3300,16,2,3945,263,-63,823
3300,16,2,4005,267,-63,326
3300,16,2,3930,262,-63,798
3300,16,2,3945,263,-63,299
3300,16,2,3945,263,-63,314
3300,16,2,3975,265,-62,309
3300,16,2,3960,264,-63,307
3300,16,2,3930,262,-63,311
3300,16,2,3930,262,-63,310
3300,16,2,3960,264,-63,293
3300,16,2,3945,263,-62,319
3300,16,2,3930,262,-62,299
3300,16,2,3945,263,-63,310
3300,16,2,3945,263,-62,814
3300,16,2,3930,262,-63,304
3300,16,2,3915,261,-62,316
3300,16,2,3930,262,-62,310
3300,16,2,3945,263,-62,292
3300,16,2,3945,263,-63,320
