physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 5 configs x 1000 samples = 5000 total
# Config 1/5: frame_count=16, burst_period=2
2100,16,2,2220,148,260
2100,16,2,2265,151,297
2100,16,2,2265,151,307
2100,16,2,2355,157,304
2100,16,2,2460,164,308
2100,16,2,2310,154,303
2100,16,2,2295,153,311
2100,16,2,2325,155,316
2100,16,2,2325,155,308
2100,16,2,2385,159,293
2100,16,2,2445,163,314
2100,16,2,2400,160,315
2100,16,2,2385,159,293
2100,16,2,2400,160,306
2100,16,2,2355,157,314
2100,16,2,2355,157,309
2100,16,2,2295,153,316
2100,16,2,2310,154,805
2100,16,2,2295,153,318
2100,16,2,2280,152,295
2100,16,2,2325,155,321
2100,16,2,2295,153,818
2100,16,2,2265,151,307
2100,16,2,2190,146,807
2100,16,2,2205,147,321
2100,16,2,2220,148,306
2100,16,2,2205,147,294
2100,16,2,2235,149,307
2100,16,2,2220,148,311
2100,16,2,2205,147,307
2100,16,2,2220,148,317
2100,16,2,2265,151,295
2100,16,2,2235,149,305
2100,16,2,2190,146,311
2100,16,2,2175,145,318
2100,16,2,2235,149,297
2100,16,2,2250,150,322
2100,16,2,2205,147,288
2100,16,2,2250,150,308
2100,16,2,2235,149,312
2100,16,2,2205,147,303
2100,16,2,2250,150,306
2100,16,2,2310,154,307
2100,16,2,2310,154,308
2100,16,2,2340,156,308
2100,16,2,2295,153,307
2100,16,2,2295,153,308
2100,16,2,2310,154,320
2100,16,2,2325,155,293
2100,16,2,2310,154,315
2100,16,2,2370,158,314
2100,16,2,2325,155,300
2100,16,2,2325,155,313
2100,16,2,2325,155,312
2100,16,2,2340,156,296
2100,16,2,2310,154,314
2100,16,2,2325,155,300
2100,16,2,2280,152,301
2100,16,2,2280,152,313
2100,16,2,2280,152,302
2100,16,2,2295,153,311
2100,16,2,2340,156,316
2100,16,2,2310,154,304
2100,16,2,2265,151,310
2100,16,2,2205,147,310
2100,16,2,2190,146,307
2100,16,2,2205,147,297
2100,16,2,2190,146,302
2100,16,2,2175,145,321
2100,16,2,2265,151,298
2100,16,2,2220,148,314
2100,16,2,2325,155,310
2100,16,2,2265,151,308
2100,16,2,2220,148,297
2100,16,2,2235,149,305
2100,16,2,2220,148,318
2100,16,2,2280,152,308
2100,16,2,2220,148,307
2100,16,2,2205,147,297
2100,16,2,2325,155,317
2100,16,2,2265,151,295
2100,16,2,2190,146,320
2100,16,2,2205,147,816
2100,16,2,2145,143,297
2100,16,2,2265,151,307
2100,16,2,2295,153,319
2100,16,2,2265,151,296
2100,16,2,2280,152,310
2100,16,2,2295,153,314
2100,16,2,2325,155,297
2100,16,2,2355,157,320
2100,16,2,2370,158,307
2100,16,2,2355,157,293
2100,16,2,2385,159,322
2100,16,2,2370,158,310
2100,16,2,2340,156,292
2100,16,2,2355,157,305
2100,16,2,2445,163,308
2100,16,2,2430,162,308
2100,16,2,2385,159,320
2100,16,2,2385,159,308
2100,16,2,2385,159,296
2100,16,2,2355,157,318
2100,16,2,2340,156,293
2100,16,2,2415,161,308
2100,16,2,2385,159,315
2100,16,2,2295,153,298
2100,16,2,2325,155,324
2100,16,2,2250,150,806
2100,16,2,2235,149,312
2100,16,2,2265,151,313
2100,16,2,2295,153,332
2100,16,2,2370,158,794
2100,16,2,2325,155,299
2100,16,2,2385,159,316
2100,16,2,2355,157,294
2100,16,2,2325,155,313
2100,16,2,2355,157,301
2100,16,2,2385,159,307
2100,16,2,2385,159,309
2100,16,2,2280,152,319
2100,16,2,2340,156,295
2100,16,2,2235,149,320
2100,16,2,2295,153,296
2100,16,2,2265,151,307
2100,16,2,2325,155,313
2100,16,2,2265,151,313
2100,16,2,2295,153,295
2100,16,2,2280,152,305
2100,16,2,2280,152,315
2100,16,2,2175,145,308
2100,16,2,2220,148,309
2100,16,2,2220,148,304
2100,16,2,2175,145,301
2100,16,2,2175,145,306
2100,16,2,2190,146,326
2100,16,2,2220,148,291
2100,16,2,2205,147,304
2100,16,2,2355,157,308
2100,16,2,2295,153,321
2100,16,2,2250,150,296
2100,16,2,2220,148,315
2100,16,2,2235,149,302
2100,16,2,2280,152,316
2100,16,2,2340,156,298
2100,16,2,2340,156,316
2100,16,2,2355,157,299
2100,16,2,2340,156,306
2100,16,2,2325,155,309
2100,16,2,2355,157,305
2100,16,2,2370,158,311
2100,16,2,2325,155,313
2100,16,2,2370,158,299
2100,16,2,2265,151,313
2100,16,2,2295,153,300
2100,16,2,2265,151,308
2100,16,2,2250,150,316
2100,16,2,2325,155,299
2100,16,2,2310,154,306
2100,16,2,2385,159,306
2100,16,2,2325,155,321
2100,16,2,2235,149,291
2100,16,2,2280,152,308
2100,16,2,2325,155,321
2100,16,2,2265,151,297
2100,16,2,2205,147,313
2100,16,2,2355,157,299
2100,16,2,2235,149,307
2100,16,2,2220,148,309
2100,16,2,2280,152,318
2100,16,2,2160,144,814
2100,16,2,2265,151,298
2100,16,2,2295,153,314
2100,16,2,2220,148,301
2100,16,2,2250,150,309
2100,16,2,2175,145,319
2100,16,2,2205,147,298
2100,16,2,2250,150,302
2100,16,2,2325,155,307
2100,16,2,2235,149,311
2100,16,2,2160,144,308
2100,16,2,2205,147,305
2100,16,2,2220,148,305
2100,16,2,2280,152,324
2100,16,2,2265,151,290
2100,16,2,2265,151,321
2100,16,2,2280,152,294
2100,16,2,2265,151,311
2100,16,2,2340,156,317
2100,16,2,2265,151,296
2100,16,2,2295,153,304
2100,16,2,2370,158,307
2100,16,2,2370,158,321
2100,16,2,2295,153,317
2100,16,2,2370,158,295
2100,16,2,2355,157,297
2100,16,2,2355,157,321
2100,16,2,2370,158,310
2100,16,2,2295,153,292
2100,16,2,2250,150,308
2100,16,2,2190,146,305
2100,16,2,2250,150,310
2100,16,2,2250,150,313
2100,16,2,2190,146,312
2100,16,2,2190,146,307
2100,16,2,2175,145,310
2100,16,2,2190,146,307
2100,16,2,2220,148,293
2100,16,2,2220,148,309
2100,16,2,2205,147,318
2100,16,2,2250,150,296
2100,16,2,2250,150,318
2100,16,2,2265,151,295
2100,16,2,2265,151,305
2100,16,2,2250,150,311
2100,16,2,2265,151,317
2100,16,2,2220,148,310
2100,16,2,2280,152,299
2100,16,2,2205,147,314
2100,16,2,2205,147,809
2100,16,2,2250,150,313
2100,16,2,2235,149,299
2100,16,2,2190,146,307
2100,16,2,2130,142,307
2100,16,2,2175,145,319
2100,16,2,2205,147,805
2100,16,2,2205,147,308
2100,16,2,2250,150,309
2100,16,2,2220,148,320
2100,16,2,2160,144,306
2100,16,2,2265,151,301
2100,16,2,2235,149,318
2100,16,2,2235,149,293
2100,16,2,2205,147,303
2100,16,2,2220,148,321
2100,16,2,2235,149,310
2100,16,2,2235,149,297
2100,16,2,2265,151,315
2100,16,2,2265,151,298
2100,16,2,2280,152,302
2100,16,2,2265,151,326
2100,16,2,2235,149,801
2100,16,2,2235,149,312
2100,16,2,2205,147,306
2100,16,2,2205,147,307
2100,16,2,2205,147,303
2100,16,2,2220,148,310
2100,16,2,2280,152,305
2100,16,2,2295,153,307
2100,16,2,2235,149,321
2100,16,2,2295,153,296
2100,16,2,2250,150,319
2100,16,2,2235,149,307
2100,16,2,2220,148,294
2100,16,2,2250,150,307
2100,16,2,2220,148,309
E (90290) wifi:No FTM Measurements received from responder!
W (90291) puara-module: FTM Report received with non-success status: 5
# Timeout after 5001 ms, retrying...
2100,16,2,2235,149,335
2100,16,2,2280,152,308
2100,16,2,2250,150,307
2100,16,2,2220,148,308
2100,16,2,2235,149,808
2100,16,2,2220,148,318
2100,16,2,2220,148,294
2100,16,2,2160,144,306
2100,16,2,2175,145,310
2100,16,2,2175,145,309
2100,16,2,2145,143,311
2100,16,2,2145,143,300
2100,16,2,2175,145,321
2100,16,2,2175,145,815
2100,16,2,2160,144,309
2100,16,2,2160,144,314
2100,16,2,2160,144,288
2100,16,2,2190,146,309
2100,16,2,2190,146,312
2100,16,2,2190,146,302
2100,16,2,2220,148,346
2100,16,2,2175,145,282
2100,16,2,2265,151,813
2100,16,2,2280,152,312
2100,16,2,2265,151,298
2100,16,2,2265,151,303
2100,16,2,2295,153,321
2100,16,2,2280,152,412
2100,16,2,2280,152,299
2100,16,2,2280,152,299
2100,16,2,2265,151,309
2100,16,2,2265,151,319
2100,16,2,2250,150,807
2100,16,2,2280,152,311
2100,16,2,2265,151,305
2100,16,2,2280,152,305
2100,16,2,2295,153,309
2100,16,2,2295,153,307
2100,16,2,2265,151,308
2100,16,2,2265,151,317
2100,16,2,2265,151,304
2100,16,2,2250,150,311
2100,16,2,2280,152,300
2100,16,2,2250,150,307
2100,16,2,2265,151,304
2100,16,2,2280,152,318
2100,16,2,2280,152,294
2100,16,2,2295,153,316
2100,16,2,2280,152,313
2100,16,2,2280,152,292
2100,16,2,2280,152,310
2100,16,2,2280,152,314
2100,16,2,2280,152,310
2100,16,2,2265,151,299
2100,16,2,2295,153,302
2100,16,2,2265,151,323
2100,16,2,2295,153,292
2100,16,2,2295,153,309
2100,16,2,2265,151,307
2100,16,2,2280,152,306
2100,16,2,2265,151,311
2100,16,2,2265,151,302
2100,16,2,2265,151,322
2100,16,2,2280,152,293
2100,16,2,2265,151,322
2100,16,2,2265,151,294
2100,16,2,2265,151,317
2100,16,2,2250,150,302
2100,16,2,2265,151,302
2100,16,2,2265,151,306
2100,16,2,2265,151,320
2100,16,2,2280,152,295
2100,16,2,2280,152,309
2100,16,2,2265,151,306
2100,16,2,2250,150,320
2100,16,2,2250,150,301
2100,16,2,2220,148,314
2100,16,2,2280,152,307
2100,16,2,2265,151,298
2100,16,2,2235,149,305
2100,16,2,2205,147,311
2100,16,2,2190,146,301
2100,16,2,2205,147,310
2100,16,2,2220,148,305
2100,16,2,2220,148,314
2100,16,2,2235,149,316
2100,16,2,2235,149,305
2100,16,2,2250,150,295
2100,16,2,2220,148,308
2100,16,2,2220,148,319
2100,16,2,2235,149,294
2100,16,2,2235,149,320
2100,16,2,2250,150,293
2100,16,2,2235,149,321
2100,16,2,2265,151,295
2100,16,2,2250,150,306
2100,16,2,2265,151,322
2100,16,2,2235,149,308
2100,16,2,2265,151,807
2100,16,2,2250,150,319
2100,16,2,2265,151,302
2100,16,2,2250,150,306
2100,16,2,2235,149,298
2100,16,2,2235,149,309
2100,16,2,2235,149,306
2100,16,2,2235,149,310
2100,16,2,2250,150,306
2100,16,2,2265,151,308
2100,16,2,2250,150,310
2100,16,2,2235,149,305
2100,16,2,2265,151,318
2100,16,2,2265,151,313
2100,16,2,2265,151,301
2100,16,2,2280,152,307
2100,16,2,2265,151,298
2100,16,2,2280,152,317
2100,16,2,2250,150,819
2100,16,2,2265,151,310
2100,16,2,2265,151,291
2100,16,2,2265,151,309
2100,16,2,2280,152,308
2100,16,2,2265,151,318
2100,16,2,2220,148,301
2100,16,2,2295,153,318
2100,16,2,2280,152,291
2100,16,2,2280,152,307
2100,16,2,2265,151,306
2100,16,2,2235,149,321
2100,16,2,2235,149,308
2100,16,2,2250,150,296
2100,16,2,2265,151,311
2100,16,2,2280,152,299
2100,16,2,2250,150,321
2100,16,2,2265,151,296
2100,16,2,2265,151,319
