physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 13 configs x 1000 samples = 13000 total
# Config 1/13: frame_count=16, burst_period=2
300,16,2,375,25,258
300,16,2,375,25,299
300,16,2,375,25,308
300,16,2,360,24,312
300,16,2,375,25,305
300,16,2,360,24,306
300,16,2,375,25,314
300,16,2,375,25,300
300,16,2,360,24,305
300,16,2,375,25,307
300,16,2,360,24,310
300,16,2,345,23,307
300,16,2,345,23,320
300,16,2,345,23,301
300,16,2,375,25,314
300,16,2,375,25,308
300,16,2,360,24,294
300,16,2,375,25,307
300,16,2,345,23,318
300,16,2,330,22,296
300,16,2,330,22,307
300,16,2,330,22,306
300,16,2,345,23,309
300,16,2,345,23,305
300,16,2,330,22,309
300,16,2,330,22,305
300,16,2,345,23,310
300,16,2,360,24,305
300,16,2,345,23,309
300,16,2,360,24,307
300,16,2,360,24,307
300,16,2,375,25,305
300,16,2,360,24,308
300,16,2,360,24,312
300,16,2,360,24,304
300,16,2,360,24,307
300,16,2,360,24,319
300,16,2,360,24,296
300,16,2,360,24,307
300,16,2,360,24,307
300,16,2,360,24,309
300,16,2,375,25,304
300,16,2,360,24,311
300,16,2,360,24,305
300,16,2,360,24,305
300,16,2,360,24,310
300,16,2,375,25,309
300,16,2,375,25,306
300,16,2,375,25,312
300,16,2,360,24,299
300,16,2,360,24,310
300,16,2,375,25,314
300,16,2,375,25,301
300,16,2,375,25,304
300,16,2,375,25,309
300,16,2,375,25,312
300,16,2,375,25,305
300,16,2,360,24,305
300,16,2,375,25,307
300,16,2,375,25,307
300,16,2,390,26,309
300,16,2,375,25,318
300,16,2,390,26,805
300,16,2,390,26,310
300,16,2,375,25,306
300,16,2,375,25,308
300,16,2,375,25,306
300,16,2,375,25,320
300,16,2,375,25,295
300,16,2,375,25,309
300,16,2,375,25,303
300,16,2,375,25,312
300,16,2,375,25,302
300,16,2,375,25,313
300,16,2,375,25,307
300,16,2,375,25,307
300,16,2,375,25,303
300,16,2,375,25,311
300,16,2,375,25,304
300,16,2,360,24,309
300,16,2,375,25,318
300,16,2,375,25,414
300,16,2,375,25,291
300,16,2,375,25,309
300,16,2,375,25,306
300,16,2,360,24,307
300,16,2,360,24,307
300,16,2,360,24,308
300,16,2,360,24,311
300,16,2,360,24,305
300,16,2,360,24,307
300,16,2,360,24,309
300,16,2,360,24,303
300,16,2,360,24,308
300,16,2,345,23,306
300,16,2,375,25,310
300,16,2,360,24,305
300,16,2,360,24,305
300,16,2,345,23,309
300,16,2,360,24,307
300,16,2,360,24,319
300,16,2,360,24,308
300,16,2,345,23,807
300,16,2,345,23,308
300,16,2,330,22,304
300,16,2,375,25,310
300,16,2,360,24,319
300,16,2,375,25,808
300,16,2,390,26,310
300,16,2,375,25,303
300,16,2,375,25,310
300,16,2,375,25,306
300,16,2,375,25,306
300,16,2,405,27,305
300,16,2,390,26,310
300,16,2,390,26,319
300,16,2,390,26,819
300,16,2,390,26,301
300,16,2,405,27,301
300,16,2,405,27,308
300,16,2,420,28,304
300,16,2,405,27,309
300,16,2,375,25,310
300,16,2,390,26,308
300,16,2,390,26,304
300,16,2,375,25,310
300,16,2,360,24,305
300,16,2,375,25,309
300,16,2,390,26,304
300,16,2,390,26,311
300,16,2,390,26,302
300,16,2,375,25,312
300,16,2,390,26,302
300,16,2,375,25,322
300,16,2,375,25,294
300,16,2,390,26,307
300,16,2,390,26,309
300,16,2,390,26,307
300,16,2,390,26,309
300,16,2,375,25,308
300,16,2,390,26,305
300,16,2,390,26,309
300,16,2,390,26,308
300,16,2,390,26,307
300,16,2,390,26,304
300,16,2,405,27,309
300,16,2,390,26,303
300,16,2,405,27,314
300,16,2,405,27,304
300,16,2,405,27,308
300,16,2,405,27,304
300,16,2,390,26,308
300,16,2,390,26,311
300,16,2,375,25,305
300,16,2,390,26,307
300,16,2,390,26,307
300,16,2,390,26,305
300,16,2,390,26,312
300,16,2,390,26,306
300,16,2,390,26,310
300,16,2,375,25,333
300,16,2,375,25,276
300,16,2,390,26,319
300,16,2,390,26,297
300,16,2,375,25,310
300,16,2,405,27,319
300,16,2,390,26,290
300,16,2,375,25,309
300,16,2,375,25,306
300,16,2,405,27,312
300,16,2,405,27,303
300,16,2,405,27,307
300,16,2,405,27,309
300,16,2,405,27,305
300,16,2,405,27,323
300,16,2,390,26,305
300,16,2,390,26,295
300,16,2,375,25,307
300,16,2,390,26,320
300,16,2,405,27,294
300,16,2,390,26,321
300,16,2,390,26,294
300,16,2,390,26,319
300,16,2,390,26,294
300,16,2,405,27,321
300,16,2,390,26,296
300,16,2,390,26,304
300,16,2,420,28,310
300,16,2,405,27,306
300,16,2,405,27,308
300,16,2,405,27,319
300,16,2,390,26,295
300,16,2,405,27,307
300,16,2,390,26,306
300,16,2,405,27,307
300,16,2,405,27,309
300,16,2,375,25,309
300,16,2,375,25,304
300,16,2,390,26,323
300,16,2,390,26,293
300,16,2,390,26,305
300,16,2,375,25,313
300,16,2,390,26,306
300,16,2,390,26,303
300,16,2,390,26,323
300,16,2,405,27,296
300,16,2,405,27,303
300,16,2,420,28,309
300,16,2,405,27,304
300,16,2,435,29,322
300,16,2,405,27,295
300,16,2,405,27,306
300,16,2,405,27,311
300,16,2,420,28,305
300,16,2,375,25,308
300,16,2,405,27,327
300,16,2,375,25,298
300,16,2,390,26,300
300,16,2,405,27,309
300,16,2,375,25,299
300,16,2,375,25,309
300,16,2,360,24,309
300,16,2,360,24,303
300,16,2,345,23,321
300,16,2,345,23,296
300,16,2,330,22,307
300,16,2,360,24,305
300,16,2,360,24,310
300,16,2,360,24,319
300,16,2,375,25,805
300,16,2,390,26,309
300,16,2,390,26,306
300,16,2,390,26,309
300,16,2,390,26,305
300,16,2,375,25,311
300,16,2,375,25,309
300,16,2,375,25,302
300,16,2,390,26,309
300,16,2,375,25,307
300,16,2,360,24,305
300,16,2,345,23,308
300,16,2,360,24,307
300,16,2,345,23,306
300,16,2,360,24,311
300,16,2,360,24,306
300,16,2,360,24,304
300,16,2,375,25,310
300,16,2,360,24,307
300,16,2,360,24,324
300,16,2,330,22,304
300,16,2,345,23,293
300,16,2,360,24,310
300,16,2,375,25,306
300,16,2,360,24,304
300,16,2,375,25,311
300,16,2,375,25,306
300,16,2,390,26,310
300,16,2,390,26,305
300,16,2,375,25,307
300,16,2,360,24,304
300,16,2,345,23,311
300,16,2,345,23,304
300,16,2,345,23,308
300,16,2,360,24,323
300,16,2,375,25,293
