physical_distance_cm,frame_count,burst_period,estimated_distance_cm,rtt_ns,elapsed_ms
# Starting automated sampling: 13 configs x 1000 samples = 13000 total
# Config 1/13: frame_count=16, burst_period=2
750,16,2,1170,78,314
750,16,2,1140,76,321
750,16,2,1155,77,305
750,16,2,1155,77,308
750,16,2,1170,78,293
750,16,2,1170,78,309
750,16,2,1140,76,306
750,16,2,1155,77,321
750,16,2,1155,77,307
750,16,2,1155,77,293
750,16,2,1170,78,313
750,16,2,1170,78,303
750,16,2,1185,79,307
750,16,2,1170,78,311
750,16,2,1170,78,302
750,16,2,1170,78,309
750,16,2,1155,77,307
750,16,2,1155,77,321
750,16,2,1155,77,299
750,16,2,1185,79,300
750,16,2,1170,78,313
750,16,2,1170,78,316
750,16,2,1185,79,806
750,16,2,1170,78,306
750,16,2,1185,79,307
750,16,2,1170,78,307
750,16,2,1185,79,307
750,16,2,1185,79,314
750,16,2,1170,78,301
750,16,2,1200,80,313
750,16,2,1200,80,301
750,16,2,1185,79,311
750,16,2,1170,78,303
750,16,2,1170,78,308
750,16,2,1170,78,313
750,16,2,1170,78,302
750,16,2,1185,79,306
750,16,2,1170,78,308
750,16,2,1170,78,306
750,16,2,1185,79,309
750,16,2,1185,79,306
750,16,2,1170,78,313
750,16,2,1185,79,316
750,16,2,1185,79,294
750,16,2,1185,79,306
750,16,2,1200,80,313
750,16,2,1185,79,316
750,16,2,1185,79,293
750,16,2,1185,79,306
750,16,2,1185,79,312
750,16,2,1185,79,303
750,16,2,1170,78,326
750,16,2,1185,79,302
750,16,2,1185,79,295
750,16,2,1185,79,307
750,16,2,1185,79,307
750,16,2,1185,79,306
750,16,2,1185,79,321
750,16,2,1170,78,294
750,16,2,1185,79,314
750,16,2,1185,79,301
750,16,2,1185,79,307
750,16,2,1185,79,308
750,16,2,1185,79,322
750,16,2,1185,79,291
750,16,2,1185,79,313
750,16,2,1185,79,302
750,16,2,1185,79,313
750,16,2,1170,78,311
750,16,2,1170,78,311
750,16,2,1185,79,293
750,16,2,1185,79,328
750,16,2,1185,79,292
750,16,2,1185,79,302
750,16,2,1185,79,312
750,16,2,1200,80,303
750,16,2,1170,78,313
750,16,2,1185,79,306
750,16,2,1185,79,316
750,16,2,1185,79,293
750,16,2,1185,79,308
750,16,2,1185,79,307
750,16,2,1185,79,311
750,16,2,1185,79,306
750,16,2,1185,79,305
750,16,2,1185,79,317
750,16,2,1185,79,296
750,16,2,1185,79,322
750,16,2,1185,79,297
750,16,2,1185,79,305
750,16,2,1185,79,307
750,16,2,1185,79,307
750,16,2,1185,79,307
750,16,2,1170,78,323
750,16,2,1185,79,803
750,16,2,1185,79,306
750,16,2,1185,79,322
750,16,2,1185,79,304
750,16,2,1185,79,312
750,16,2,1185,79,292
750,16,2,1185,79,321
750,16,2,1185,79,292
750,16,2,1185,79,310
750,16,2,1185,79,305
750,16,2,1185,79,309
750,16,2,1185,79,306
750,16,2,1185,79,310
750,16,2,1200,80,304
750,16,2,1185,79,309
750,16,2,1185,79,306
750,16,2,1185,79,307
750,16,2,1185,79,306
750,16,2,1185,79,317
750,16,2,1185,79,300
750,16,2,1185,79,307
750,16,2,1185,79,322
750,16,2,1185,79,291
750,16,2,1185,79,321
750,16,2,1185,79,805
750,16,2,1185,79,310
750,16,2,1185,79,304
750,16,2,1185,79,314
750,16,2,1185,79,315
750,16,2,1170,78,307
750,16,2,1170,78,811
750,16,2,1200,80,308
750,16,2,1185,79,301
750,16,2,1185,79,321
750,16,2,1185,79,308
750,16,2,1185,79,810
750,16,2,1200,80,303
750,16,2,1185,79,307
750,16,2,1170,78,319
750,16,2,1185,79,308
750,16,2,1170,78,293
750,16,2,1185,79,322
750,16,2,1185,79,299
750,16,2,1185,79,315
750,16,2,1185,79,805
750,16,2,1185,79,307
750,16,2,1185,79,315
750,16,2,1185,79,305
750,16,2,1185,79,315
750,16,2,1200,80,309
750,16,2,1185,79,298
750,16,2,1185,79,301
750,16,2,1185,79,307
750,16,2,1185,79,308
750,16,2,1185,79,309
750,16,2,1185,79,321
750,16,2,1185,79,293
750,16,2,1185,79,321
750,16,2,1185,79,805
750,16,2,1185,79,306
750,16,2,1185,79,321
750,16,2,1185,79,293
750,16,2,1200,80,322
750,16,2,1185,79,805
750,16,2,1185,79,315
750,16,2,1185,79,306
750,16,2,1185,79,301
750,16,2,1185,79,321
750,16,2,1185,79,296
750,16,2,1185,79,304
750,16,2,1185,79,313
750,16,2,1185,79,301
750,16,2,1185,79,307
750,16,2,1185,79,309
750,16,2,1185,79,305
750,16,2,1170,78,308
750,16,2,1185,79,312
750,16,2,1185,79,316
750,16,2,1185,79,296
750,16,2,1185,79,312
750,16,2,1185,79,300
750,16,2,1185,79,307
750,16,2,1185,79,308
750,16,2,1185,79,307
750,16,2,1185,79,308
750,16,2,1185,79,306
750,16,2,1185,79,308
750,16,2,1185,79,321
750,16,2,1200,80,293
750,16,2,1185,79,307
750,16,2,1185,79,313
750,16,2,1185,79,301
750,16,2,1185,79,308
750,16,2,1185,79,307
750,16,2,1185,79,322
750,16,2,1200,80,292
750,16,2,1185,79,308
750,16,2,1185,79,308
750,16,2,1200,80,320
750,16,2,1185,79,293
750,16,2,1185,79,308
750,16,2,1185,79,321
750,16,2,1185,79,294
750,16,2,1185,79,306
750,16,2,1185,79,312
750,16,2,1185,79,302
750,16,2,1185,79,322
750,16,2,1185,79,294
750,16,2,1200,80,307
750,16,2,1200,80,306
750,16,2,1200,80,309
750,16,2,1185,79,307
750,16,2,1200,80,305
750,16,2,1185,79,308
750,16,2,1185,79,308
750,16,2,1185,79,307
750,16,2,1185,79,308
750,16,2,1185,79,317
750,16,2,1185,79,310
750,16,2,1185,79,814
750,16,2,1185,79,298
750,16,2,1185,79,308
750,16,2,1185,79,308
750,16,2,1185,79,308
750,16,2,1185,79,305
750,16,2,1185,79,307
750,16,2,1200,80,308
750,16,2,1185,79,323
750,16,2,1185,79,291
750,16,2,1200,80,322
750,16,2,1185,79,302
750,16,2,1200,80,299
750,16,2,1185,79,308
750,16,2,1185,79,319
750,16,2,1185,79,293
750,16,2,1185,79,308
750,16,2,1185,79,311
750,16,2,1185,79,318
750,16,2,1185,79,292
750,16,2,1185,79,313
750,16,2,1185,79,317
750,16,2,1185,79,817
750,16,2,1185,79,297
750,16,2,1185,79,318
750,16,2,1185,79,299
750,16,2,1200,80,301
750,16,2,1185,79,313
750,16,2,1185,79,301
750,16,2,1185,79,314
750,16,2,1200,80,309
750,16,2,1185,79,307
